Energy1,Fat,Saturated Fat,MUFA,PUFA,Omega,Carbohydrates,Sugar,category,Name,x,y,Trustworthiness,Continuity,MRRE_False,MRRE_Missing,Neighborhood_Hit,accuracy
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 20/22, pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
575.0,49.42,3.73,0.0,42.96,0.4,21.67,3.89,Nut,Californian Almonds Natural Sliced Thick EU,-109.71674,226.71837,0.8657142857142857,0.8428571428571429,0.8356505409689201,0.7708720970298394,1.0,0.8287735166425471
320.0,0.6,0.1,0.0,0.0,0.0,76.61,53.18,Fruit,EC Dried Pineapple Dices,61.544144,-127.15234,0.8957142857142857,0.9414285714285714,0.8591154985872786,0.8714768106953346,1.0,0.8919337916063677
369.0,2.0,1.0,0.0,0.1,0.0,92.0,80.0,Fruit,"Apple Dehydrated Dices With Red Skin Without SO2, 6.3x6.3x7.1 mm",205.61655,-8.070051,0.9514285714285714,0.9042857142857142,0.938761973675143,0.8910223278891874,1.0,0.921374646819654
62.0,0.09,0.04,0.0,0.0,0.0,14.0,14.0,Fruit,"Apricots Halves Choice In Syrup, A10 Tin",-77.75254,-155.53116,0.9728571428571429,0.9514285714285714,0.9569636827234511,0.8868013920474123,1.0,0.9420126972641445
325.05,0.67,0.07,0.0,0.2,0.0,85.0,72.5,Fruit,US Sweetened Dried Cranberries Soft & Moist Sliced,190.6219,-126.638535,0.9442857142857143,0.9485714285714286,0.915262559437668,0.9369616153263042,1.0,0.9362703294052788
325.05,0.67,0.07,0.0,0.0,0.0,85.0,72.5,Fruit,US Sweetened Dried Cranberries Soft & Moist Diced,191.6507,-87.424614,0.9814285714285714,0.9914285714285714,0.9802477430914479,0.9889221969540348,1.0,0.9855067707256564
341.0,0.5,0.5,0.0,0.0,0.0,87.07,59.0,Fruit,US Sweetened Dried Cranberries Glycerated Sliced,91.26939,-148.34492,0.9028571428571428,0.8528571428571429,0.9195524085176763,0.9187857487423334,1.0,0.898513110743574
340.5,0.55,0.0,0.0,0.0,0.0,83.68,72.75,Fruit,US Sweetened Dried Cranberries BFF Raspberry Sliced,153.05583,-61.700706,0.9714285714285714,0.9714285714285714,0.9727534284336021,0.9745365584728827,1.0,0.9725367824409069
340.5,0.55,0.0,0.0,0.0,0.0,83.68,72.75,Fruit,US Sweetened Dried Cranberries BFF Strawberry Sliced,153.05583,-61.700706,0.9714285714285714,0.9714285714285714,0.9727534284336021,0.9745365584728827,1.0,0.9725367824409069
342.0,0.5,0.0,0.0,0.0,0.0,84.15,67.0,Fruit,US Sweetened Dried Cranberries BFF Raspberry Diced,129.38054,-24.77276,0.9214285714285715,0.8228571428571428,0.8605454482806147,0.8376748673420163,1.0,0.8606265074770864
349.0,0.5,0.07,0.0,0.0,0.0,87.15,69.4,Fruit,US Sweetened Dried Cranberries BFF Strawberry Diced,161.21101,-183.99527,0.8814285714285715,0.8328571428571429,0.8238233064571704,0.8306457170422438,1.0,0.8421886844462821
333.0,0.7,0.08,0.0,0.0,0.0,86.19,70.7,Fruit,US Sweetened Dried Cranberries Pineapple Juice Infused Sliced,194.94771,-44.079605,0.95,0.9442857142857143,0.8626300737371649,0.9462218317138722,1.0,0.9257844049341879
349.0,0.56,0.0,0.0,0.0,0.0,85.4,62.61,Fruit,US Sweetened Dried Cranberries BFF Blueberry Sliced,127.922424,-133.88037,0.91,0.8542857142857143,0.909499689890428,0.8878609330852457,1.0,0.890411584315347
363.0,0.73,0.13,0.0,0.0,0.0,89.06,79.11,Fruit,US Sweetened Dried Cranberries Soft & Moist Double Diced,229.26477,-63.54515,0.9757142857142858,0.9828571428571429,0.93759906277996,0.9303373303011508,1.0,0.9566269554131348
349.0,0.56,0.0,0.0,0.0,0.0,85.4,62.61,Fruit,US Sweetened Dried Cranberries BFF Blueberry Diced,127.922424,-133.88037,0.91,0.8542857142857143,0.909499689890428,0.8878609330852457,1.0,0.890411584315347
354.0,0.5,0.0,0.0,0.0,0.0,89.24,59.0,Fruit,US Sweetened Dried Cranberries Glycerated Sliced Low Moisture,88.85179,-186.4207,0.9214285714285715,0.9157142857142857,0.8340827647991179,0.9224726069878023,1.0,0.8984245572324443
338.85,0.47,0.06,0.27,0.11,0.0,87.73,69.23,Fruit,US Sweetened Dried Cranberries Sliced Intermediate Moisture,226.71281,-112.08745,0.9371428571428572,0.9514285714285714,0.9284336020949624,0.9014196127076011,1.0,0.929606160843498
340.5,0.55,0.0,0.0,0.0,0.0,83.68,72.75,Fruit,US Sweetened Dried Cranberries BFF Orange Sliced,153.05583,-61.700706,0.9714285714285714,0.9714285714285714,0.9727534284336021,0.9745365584728827,1.0,0.9725367824409069
337.0,1.3,0.2,0.0,0.0,0.0,74.0,70.0,Fruit,US Sweetened Dried Cranberries Classic Whole,124.49117,-173.6576,0.8314285714285714,0.8171428571428572,0.771173592447109,0.8257528771276962,1.0,0.8113744745365585
