BBS SAP-No (Art.-Nr.),Name,Kosher,Halal,Vegetarian,Organic,Energy kcal/100g,Energy kJ/100g,Fat,Thereof Saturated Fat,Thereof MUFA,Thereof PUFA,Omega Content,Carbohydrates,Thereof Sugar,Thereof Polyhydric Alcohols,Protein,Dietary Fiber,Salt,"Chemical Score/
PDCAAS",x1,x2,kNN_hit,accuracy
10002,"Californian Almonds Butte/Mission/Padre 27/30 and/or 30/32, pasteurized, 3,5%Z",Yes,Yes,Yes,No,575.0,2405.8,49.42,3.73,30.89,12.07,,21.67,3.89,,21.22,12.2,0.00254,,24.819231745965585,-26.5578735291401,0.07452235018295827,0.67564734332658
10004,"Californian Almonds Nonpareil Extra No. 1 20/22, pasteurized",Yes,Yes,Yes,No,575.0,2405.8,49.42,3.73,30.89,12.07,,21.67,3.89,,21.22,12.2,0.00254,,24.81923174590789,-26.557873529181958,0.49417512792426965,0.7609682115399202
10006,Californian Almonds Natural Sliced Thick EU,Yes,Yes,Yes,No,575.0,2403.5,49.42,3.73,n.A.,42.96,0.4,21.67,3.89,0.0,21.22,12.2,0.003,0.4,24.8192615761546,-26.55785906589209,0.9890299185511314,0.14471491641442125
10016,"Apple Dehydrated Dices With Red Skin Without SO2, 6.3x6.3x7.1 mm",Yes,Yes,Yes,No,369.0,1542.42,2.0,1.0,,0.1,0.0,92.0,80.0,0,1.3,12.0,0.05,0.1,7.250025303748883,60.58313293341811,0.5767247876312298,0.4492736429595564
10023,"Apricots Halves Choice In Syrup, A2.5 Tin",Yes,Yes,Yes,No,62.0,264.0,0.09,0.04,0.0,0.0,,14.0,14.0,0.0,1.4,0.0,0.0,,-23.359766378634784,-10.426821260498084,0.17750170079718186,0.31008241665310476
10037,US Sweetened Dried Cranberries Soft & Moist Sliced,Yes,Yes,No,No,325.05,1360.65,0.67,0.07,"0,3",0.2,0.0,85.0,72.5,0,0.47,6.36,0.02,0.1,3.0002707413874417,54.14503179708864,0.7957250906568953,0.5130294468215129
10100,CA Wild Blueberries Sweetened Dried,No,No,Yes,No,342.0,1448.0,1.9,0.18,,,,75.7,72.1,0.1,1.0,7.89,0.011,,1.1811086718234873,44.93600530960618,0.1143403298154484,0.6216358442917823
10117,"CA Wild Blueberries IQF Grade A, 30LB",Yes,Yes,Yes,No,49.0,204.82,0.12,0.03,0,0,"0,08",11.9,8.2,0.0,0.2,2.1,0.0038,"0,1",-24.460373087056897,-12.282780528051891,0.2522644341365411,0.7357241762904354
10128,"CA Wild Blueberries IQF Grade A, Small, 30LB",Yes,No,Yes,No,50.0,209.3,0.13,0.02,,,,13.0,8.88,,0.6,2.9,0.004,,-23.792348783711187,-11.26431862723194,0.17478537228761082,0.9245361036636232
10129,"CA Wild Blueberries IQF Grade A, Medium",Yes,No,Yes,No,50.0,209.3,0.13,0.02,,,,13.0,8.88,,0.6,2.9,0.004,,-23.792348783711187,-11.26431862723194,0.9415745775942674,0.735591090444915
